@relation 'city_day-weka.filters.unsupervised.attribute.Remove-R2,15-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R14-15-weka.filters.unsupervised.attribute.NumericTransform-R8,11-12-Cjava.lang.Math-Mlog-weka.filters.unsupervised.attribute.NumericTransform-R2-7,9-10-Cjava.lang.Math-Mcbrt-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.instance.SpreadSubsample-M-1.0-X0.0-S1'

@attribute City {Ahmedabad,Aizawl,Amaravati,Amritsar,Bengaluru,Bhopal,Brajrajnagar,Chandigarh,Chennai,Coimbatore,Delhi,Ernakulam,Gurugram,Guwahati,Hyderabad,Jaipur,Jorapokhar,Kochi,Kolkata,Lucknow,Mumbai,Patna,Shillong,Talcher,Thiruvananthapuram,Visakhapatnam}
@attribute PM2.5 numeric
@attribute PM10 numeric
@attribute NO numeric
@attribute NO2 numeric
@attribute NOx numeric
@attribute NH3 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute O3 numeric
@attribute Benzene numeric
@attribute Toluene numeric
@attribute AQI_Bucket {Poor,'Very Poor',Severe,Moderate,Satisfactory,Good}

@data
Delhi,0.419653,0.530592,0.299849,0.471948,0.697516,0.468436,0.535721,0.382783,0.606705,0.491631,0.619216,Poor
Patna,0.421633,0.489155,0.280675,0.295447,0.29919,0.388686,0.50773,0.60292,0.641864,0.482601,0.684088,Poor
Patna,0.450079,0.570145,0.639757,0.536124,0.758964,0.397043,0.503345,0.348054,0.341614,0.532722,0.637405,Poor
Delhi,0.502197,0.59661,0.394078,0.455894,0.534013,0.484934,0.50773,0.324689,0.539538,0.513292,0.551368,Poor
Jorapokhar,0.448015,0.676773,0.248309,0.274884,0.440314,0.239266,0.558343,0.501008,0.546024,0.545059,0.639541,Poor
Delhi,0.457139,0.612412,0.264728,0.47972,0.441949,0.466102,0.470109,0.408805,0.584681,0.527989,0.660212,Poor
Delhi,0.537261,0.655123,0.419745,0.4839,0.54429,0.492367,0.505561,0.323928,0.587654,0.506616,0.576987,Poor
Ahmedabad,0.447426,0.489155,0.251451,0.571747,0.480419,0.388686,0.694554,0.564708,0.647882,0.562944,0.753939,Poor
Jaipur,0.441924,0.595557,0.322086,0.47606,0.430891,0.406866,?,0.385475,0.559796,0.554811,0.584876,Poor
Lucknow,0.450661,0.489155,0.259556,0.581767,0.223451,0.388686,0.513974,0.343716,0.599521,0.555295,0.580371,Poor
Delhi,0.416848,0.638452,0.327997,0.481646,0.534322,0.45888,0.47515,0.389997,0.683812,0.571038,0.652107,Poor
Visakhapatnam,0.330024,0.386343,0.220717,0.379146,0.357624,0.167964,0.415409,0.461467,0.46013,0.523002,0.5995,Poor
Brajrajnagar,0.475308,0.633915,0.335956,0.404036,0.495805,0.295994,0.623179,0.439593,0.392778,?,0.639541,Poor
Delhi,0.397972,0.524419,0.365687,0.511766,0.743202,0.478638,0.496393,0.358113,0.598307,0.518453,0.64546,Poor
Jaipur,0.422405,0.614406,0.240141,0.307396,0.365444,0.327076,0.440333,0.339838,0.635577,0.394769,0.470243,Poor
Gurugram,0.4456,0.489155,0.244166,0.334182,0.310383,0.388686,0.509854,0.356064,0.496418,0.545059,0.639541,Poor
Lucknow,0.423558,0.489155,0.323024,0.38412,0.413335,0.377167,0.474162,0.28229,0.512049,0.737239,0.738086,Poor
Delhi,0.500964,0.582648,0.345523,0.4408,0.20503,0.478159,0.496393,0.348857,0.511953,0.488717,0.576218,Poor
Brajrajnagar,0.465922,0.603192,0.384518,0.392042,0.494907,0.622126,0.582848,0.329779,0.324469,?,0.639541,Poor
Delhi,0.450336,0.60931,0.440381,0.531381,0.591181,0.382559,0.499541,0.50149,0.653131,0.570218,0.639289,Poor
Visakhapatnam,0.468878,0.607039,0.526856,0.580933,0.624698,0.318147,0.530129,0.388464,0.560525,0.583793,0.635483,Poor
Lucknow,0.517895,0.489155,0.263092,0.402915,0.381491,0.465473,0.4533,0.323164,0.474672,0.360933,0.438268,Poor
Talcher,0.477113,0.670012,0.244865,0.242894,0.322272,0.232596,0.599886,0.413365,0.273846,0.545059,0.639541,Poor
Ahmedabad,0.317459,0.489155,0.259135,0.246474,0.353158,0.388686,0.702424,0.435703,0.365983,0.469015,0.585227,Poor
Bhopal,0.431137,0.563947,0.25733,0.509807,0.454323,0.358033,0.497979,0.348188,0.548771,0.545059,0.639541,Poor
Delhi,0.406631,0.652737,0.346988,0.392941,0.441768,0.451971,0.455708,0.355807,0.466368,0.465285,0.722779,Poor
Chennai,0.457272,0.489155,0.251784,0.333728,0.401223,0.481017,0.477099,0.324537,0.474341,0.10243,0.313963,Poor
Brajrajnagar,0.432912,0.513719,0.355616,0.377037,0.472737,0.437103,0.593283,0.416485,0.274895,?,0.639541,Poor
Lucknow,0.479151,0.489155,0.261334,0.512073,0.433439,0.451216,0.413629,0.365979,0.52017,?,?,Poor
Ahmedabad,0.422713,0.507825,0.178155,0.305804,0.287517,0.388686,0.607177,0.511548,0.431943,0.563388,0.750817,Poor
Delhi,0.507896,0.641592,0.458896,0.506232,0.550874,0.44568,0.52237,0.386032,0.541529,0.58035,0.770872,Poor
Delhi,0.486847,0.66278,0.501764,0.567948,0.594616,0.457019,0.527804,0.422032,0.593988,0.598571,0.615618,Poor
Lucknow,0.422058,0.489155,0.229417,0.330671,0.223451,0.388686,0.50184,0.260189,0.579826,0.398737,0.566029,Poor
